Ndia;Fecha;Ncasos;Ctotales;Mtotales
1;29 de febrero;1;1;0
2;1 de marzo;5;6;0
3;2 de marzo;0;6;0
4;3 de marzo;5;11;0
5;4 de marzo;3;14;0
6;5 de marzo;0;14;0
7;6 de marzo;0;14;0
8;7 de marzo;0;14;0
9;8 de marzo;1;15;0
10;9 de marzo;0;15;0
11;10 de marzo;2;17;0
12;11 de marzo;0;17;0
13;12 de marzo;0;17;0
14;13 de marzo;6;23;1
15;14 de marzo;5;28;2
16;15 de marzo;9;37;2
17;16 de marzo;21;58;2
18;17 de marzo;53;111;2
19;18 de marzo;44;155;2
20;19 de marzo;105;260;4
21;20 de marzo;107;367;5
22;21 de marzo;165;532;7
23;22 de marzo;257;789;14
24;23 de marzo;192;981;18
25;24 de marzo;101;1082;27
26;25 de marzo;129;1211;29
27;26 de marzo;192;1403;34
28;27 de marzo;224;1627;41
29;28 de marzo;208;1835;48
30;29 de marzo;89;1924;58
31;30 de marzo;42;1966;62
32;31 de marzo;336;2302;79
33;1 de abril;456;2758;98
34;2 de abril;405;3163;120
35;3 de abril;205;3368;145
36;4 de abril;97;3465;172
37;5 de abril;181;3646;180
38;6 de abril;101;3747;191
39;6 de abril;101;3747;191
40;7 de abril;248;3995;220
41;8 de abril;455;4450;242
42;9 de abril;515;4965;272
43;10 de abril;2196;7161;297
44;11 de abril;96;7257;315
45;12 de abril;209;7466;333
46;13 de abril;63;7529;355
47;14 de abril;74;7603;369
48;15 de abril;255;7858;388
49;16 de abril;367;8225;403
